lsc_year,analysis_unit,frame_stratum,term_role,target_group,breadth_mean_pairwise_cosine_distance,sampled_contexts,sampled_documents,sampled_domains,bootstrap_repetitions,bootstrap_unit,breadth_bootstrap_mean,breadth_ci_low,breadth_ci_high,available_contexts,markable_contexts,unmarkable_contexts,unmarkable_share,cap_applied,sampling_policy,top_domain,top_domain_share,small_cell_flag
2020,Autism,lived_only,target,Autism,0.6101735293197974,980,782,735,500,doc_id,0.609548787426491,0.6002354764998173,0.6184787813635699,1064,980,0,0.0,False,all_markable_target_contexts_no_comparators,drivemomcrazy.com,0.01020408163265306,False
2021,Autism,lived_only,target,Autism,0.6095122495506688,911,709,670,500,doc_id,0.6088914474564444,0.598512310041581,0.6188301341568362,994,911,0,0.0,False,all_markable_target_contexts_no_comparators,middlesbrough.gov.uk,0.007683863885839737,False
2022,Autism,lived_only,target,Autism,0.6215758770962048,825,643,598,500,doc_id,0.6207865492237633,0.6116041637188598,0.6304793463636909,911,825,0,0.0,False,all_markable_target_contexts_no_comparators,autisticandme.com,0.008484848484848486,False
2023,Autism,lived_only,target,Autism,0.6075889074964744,617,470,445,500,doc_id,0.6062117446968422,0.59416074295052,0.6175927793562769,687,617,0,0.0,False,all_markable_target_contexts_no_comparators,phoenix.org.uk,0.009724473257698542,False
2024,Autism,lived_only,target,Autism,0.6054897716662422,595,454,430,500,doc_id,0.6046425575120695,0.592531238161826,0.6167710860075611,651,595,0,0.0,False,all_markable_target_contexts_no_comparators,auticon.com,0.011764705882352941,False
2025,Autism,lived_only,target,Autism,0.5632733906390214,683,566,507,500,doc_id,0.5620918200097899,0.5458058424142872,0.5770926576599105,746,683,0,0.0,False,all_markable_target_contexts_no_comparators,phoenix.org.uk,0.013177159590043924,False
2026,Autism,lived_only,target,Autism,0.6136121805584122,221,170,162,500,doc_id,0.609865849748814,0.5889483071625479,0.6302844234848353,250,221,0,0.0,False,all_markable_target_contexts_no_comparators,phoenix.org.uk,0.02262443438914027,False
2014,Autism,mixed,target,Autism,0.6222615155750555,572,502,430,500,doc_id,0.621173143482438,0.6072333097970704,0.6336216731302187,660,572,0,0.0,False,all_markable_target_contexts_no_comparators,41nbc.com,0.02097902097902098,False
2015,Autism,mixed,target,Autism,0.6127284109443625,469,413,359,500,doc_id,0.6112053883059684,0.5984880139206297,0.6243689271903264,539,469,0,0.0,False,all_markable_target_contexts_no_comparators,troubledteensearch.com,0.017057569296375266,False
2016,Autism,mixed,target,Autism,0.6137485636032937,596,501,461,500,doc_id,0.6125365253690785,0.6002222370659122,0.6244600518596422,678,596,0,0.0,False,all_markable_target_contexts_no_comparators,autismafter16.com,0.010067114093959731,False
2017,Autism,mixed,target,Autism,0.6085196495485732,554,457,418,500,doc_id,0.6071961931568053,0.5954445844866655,0.6196347461569897,627,554,0,0.0,False,all_markable_target_contexts_no_comparators,ncdcr.gov,0.010830324909747292,False
2018,Autism,mixed,target,Autism,0.5974460756206152,545,477,433,500,doc_id,0.5964861365653757,0.5832459953497625,0.6099239770515479,620,545,0,0.0,False,all_markable_target_contexts_no_comparators,autismafter16.com,0.01651376146788991,False
2019,Autism,mixed,target,Autism,0.6028570115524119,488,403,376,500,doc_id,0.6021747414841409,0.5877749245573101,0.6164445466732822,546,488,0,0.0,False,all_markable_target_contexts_no_comparators,medicationjunction.com,0.040983606557377046,False
2020,Autism,mixed,target,Autism,0.5993969867018769,461,388,373,500,doc_id,0.5978226390865827,0.5841136862212624,0.6125391226274628,525,461,0,0.0,False,all_markable_target_contexts_no_comparators,spectrumnews.org,0.008676789587852495,False
2021,Autism,mixed,target,Autism,0.60304234436282,479,407,387,500,doc_id,0.6022882569655705,0.5889686355164142,0.6156548152463258,551,479,0,0.0,False,all_markable_target_contexts_no_comparators,cam.ac.uk,0.010438413361169102,False
2022,Autism,mixed,target,Autism,0.5871925133689839,375,318,302,500,doc_id,0.5856957696421538,0.5677997845458745,0.6013042224780552,421,375,0,0.0,False,all_markable_target_contexts_no_comparators,massgeneral.org,0.013333333333333334,False
2023,Autism,mixed,target,Autism,0.5979807692307693,325,283,269,500,doc_id,0.5953486805213692,0.5776500635290073,0.6119954940122762,372,325,0,0.0,False,all_markable_target_contexts_no_comparators,autismspeaks.org,0.018461538461538463,False
2024,Autism,mixed,target,Autism,0.5950259725031066,287,229,215,500,doc_id,0.5927185640251228,0.5752925361864258,0.610435381878015,315,287,0,0.0,False,all_markable_target_contexts_no_comparators,aspect.org.au,0.024390243902439025,False
2025,Autism,mixed,target,Autism,0.6294904635910428,323,273,246,500,doc_id,0.6268171390424329,0.60405804816505,0.6471099252029741,357,323,0,0.0,False,all_markable_target_contexts_no_comparators,momsacrossamerica.com,0.021671826625386997,False
2026,Autism,mixed,target,Autism,0.5868305228960395,101,84,82,500,doc_id,0.5813418789012271,0.5552213640573949,0.6107744143303484,120,101,0,0.0,False,all_markable_target_contexts_no_comparators,iatutah.com,0.0594059405940594,False
2014,Autism,substantive_core_overall,target,Autism,0.6351804370753289,4255,2858,2035,500,doc_id,0.6349980126904886,0.6304518313474158,0.6397149408960914,4813,4255,0,0.0,False,all_markable_target_contexts_no_comparators,cnn.com,0.009165687426556992,False
2015,Autism,substantive_core_overall,target,Autism,0.6427503285518552,3276,2252,1705,500,doc_id,0.6423882556514712,0.6362425671650436,0.6478239177949747,3677,3276,0,0.0,False,all_markable_target_contexts_no_comparators,technologynetworks.com,0.013431013431013432,False
2016,Autism,substantive_core_overall,target,Autism,0.6430503088335131,3796,2553,2064,500,doc_id,0.6426370488443629,0.6373956775029026,0.6480960039518334,4220,3796,0,0.0,False,all_markable_target_contexts_no_comparators,rainbowsaretoobeautiful.com,0.010010537407797681,False
2017,Autism,substantive_core_overall,target,Autism,0.6432905682629042,3583,2439,2080,500,doc_id,0.6432561234931997,0.6377507474291999,0.6481638772059581,3979,3583,0,0.0,False,all_markable_target_contexts_no_comparators,theautismdirectory.com,0.009768350544236673,False
2018,Autism,substantive_core_overall,target,Autism,0.6400367585567944,3422,2369,2046,500,doc_id,0.6397643551610188,0.6343017241768574,0.6452115846767383,3818,3422,0,0.0,False,all_markable_target_contexts_no_comparators,eu-aims.eu,0.008182349503214495,False
2019,Autism,substantive_core_overall,target,Autism,0.6390002477851494,3114,2104,1899,500,doc_id,0.6386418565580477,0.6330485286243319,0.6444947413358644,3454,3114,0,0.0,False,all_markable_target_contexts_no_comparators,rki.de,0.00674373795761079,False
2020,Autism,substantive_core_overall,target,Autism,0.6374786181895629,2839,1973,1818,500,doc_id,0.6371012956657407,0.6309074934297041,0.6430348000370336,3121,2839,0,0.0,False,all_markable_target_contexts_no_comparators,drivemomcrazy.com,0.0052835505459668895,False
2021,Autism,substantive_core_overall,target,Autism,0.6353187995439635,2663,1831,1657,500,doc_id,0.6351751094942601,0.6294835404681999,0.6414594470774135,2958,2663,0,0.0,False,all_markable_target_contexts_no_comparators,asdcarc.com,0.006383777694329703,False
2022,Autism,substantive_core_overall,target,Autism,0.6321344093982921,2251,1557,1415,500,doc_id,0.6316403217604013,0.6248478437536579,0.6383358839619832,2507,2251,0,0.0,False,all_markable_target_contexts_no_comparators,massgeneral.org,0.006219458018658374,False
2023,Autism,substantive_core_overall,target,Autism,0.6313045111811754,1909,1286,1180,500,doc_id,0.6308397099060165,0.6234006735974222,0.6385985383823448,2151,1909,0,0.0,False,all_markable_target_contexts_no_comparators,autismspeaks.org,0.012048192771084338,False
2024,Autism,substantive_core_overall,target,Autism,0.6243949493377599,1701,1140,1022,500,doc_id,0.6241135107770733,0.61536678050601,0.6319434556755434,1866,1701,0,0.0,False,all_markable_target_contexts_no_comparators,thetreetop.com,0.007054673721340388,False
2025,Autism,substantive_core_overall,target,Autism,0.6205161816406506,1955,1326,1108,500,doc_id,0.6199706610810471,0.6112169814246958,0.627960935557528,2147,1955,0,0.0,False,all_markable_target_contexts_no_comparators,goldstarrehab.com,0.011764705882352941,False
2026,Autism,substantive_core_overall,target,Autism,0.632241190192851,671,453,410,500,doc_id,0.6311914159224626,0.6195084747594507,0.6422322220594103,752,671,0,0.0,False,all_markable_target_contexts_no_comparators,crossrivertherapy.com,0.037257824143070044,False
