analysis_unit,lsc_year,frame_stratum,term_role,target_group,raw_form,sampled_contexts,sampled_documents,raw_form_context_share
Autism,2020,lived_only,target,Autism,autism,554,476,0.5653061224489796
Autism,2020,lived_only,target,Autism,autism_spectrum,115,100,0.11734693877551021
Autism,2020,lived_only,target,Autism,autistic,307,262,0.31326530612244896
Autism,2020,mixed,target,Autism,asd_disambiguated,5,5,0.010845986984815618
Autism,2020,mixed,target,Autism,autism,283,242,0.613882863340564
Autism,2020,mixed,target,Autism,autism_spectrum,71,70,0.1540130151843818
Autism,2020,mixed,target,Autism,autistic,102,94,0.22125813449023862
Autism,2020,substantive_core_overall,target,Autism,asd_disambiguated,53,44,0.018668545262416344
Autism,2020,substantive_core_overall,target,Autism,autism,1740,1325,0.6128918633321592
Autism,2020,substantive_core_overall,target,Autism,autism_spectrum,495,423,0.17435716801690737
Autism,2020,substantive_core_overall,target,Autism,autistic,551,452,0.19408242338851708
Autism,2021,clinical_only,target,Autism,asd_disambiguated,31,27,0.02433281004709576
Autism,2021,clinical_only,target,Autism,autism,812,637,0.6373626373626373
Autism,2021,clinical_only,target,Autism,autism_spectrum,298,257,0.23390894819466249
Autism,2021,clinical_only,target,Autism,autistic,133,114,0.1043956043956044
Autism,2021,lived_only,target,Autism,asd_disambiguated,4,4,0.0043907793633369925
Autism,2021,lived_only,target,Autism,autism,517,435,0.5675082327113062
Autism,2021,lived_only,target,Autism,autism_spectrum,104,100,0.1141602634467618
Autism,2021,lived_only,target,Autism,autistic,286,243,0.31394072447859495
Autism,2021,mixed,target,Autism,asd_disambiguated,7,7,0.014613778705636743
Autism,2021,mixed,target,Autism,autism,308,265,0.6430062630480167
Autism,2021,mixed,target,Autism,autism_spectrum,58,58,0.12108559498956159
Autism,2021,mixed,target,Autism,autistic,106,90,0.22129436325678498
Autism,2021,substantive_core_overall,target,Autism,asd_disambiguated,42,38,0.015771686068343973
Autism,2021,substantive_core_overall,target,Autism,autism,1636,1239,0.6143447239954938
Autism,2021,substantive_core_overall,target,Autism,autism_spectrum,460,400,0.17273751408186255
Autism,2021,substantive_core_overall,target,Autism,autistic,525,421,0.19714607585429966
Autism,2022,clinical_only,target,Autism,asd_disambiguated,32,31,0.030447193149381543
Autism,2022,clinical_only,target,Autism,autism,677,543,0.6441484300666033
Autism,2022,clinical_only,target,Autism,autism_spectrum,234,210,0.2226450999048525
Autism,2022,clinical_only,target,Autism,autistic,108,94,0.1027592768791627
Autism,2022,lived_only,target,Autism,asd_disambiguated,2,2,0.0024242424242424242
Autism,2022,lived_only,target,Autism,autism,454,394,0.5503030303030303
Autism,2022,lived_only,target,Autism,autism_spectrum,81,75,0.09818181818181818
Autism,2022,lived_only,target,Autism,autistic,288,242,0.3490909090909091
Autism,2022,mixed,target,Autism,asd_disambiguated,4,4,0.010666666666666666
Autism,2022,mixed,target,Autism,autism,230,197,0.6133333333333333
Autism,2022,mixed,target,Autism,autism_spectrum,58,54,0.15466666666666667
Autism,2022,mixed,target,Autism,autistic,83,73,0.22133333333333333
Autism,2022,substantive_core_overall,target,Autism,asd_disambiguated,38,36,0.016881386050644157
Autism,2022,substantive_core_overall,target,Autism,autism,1361,1040,0.6046201688138605
Autism,2022,substantive_core_overall,target,Autism,autism_spectrum,373,328,0.16570413149711238
Autism,2022,substantive_core_overall,target,Autism,autistic,479,380,0.21279431363838294
Autism,2023,clinical_only,target,Autism,asd_disambiguated,31,27,0.03205791106514995
Autism,2023,clinical_only,target,Autism,autism,627,476,0.6483971044467425
Autism,2023,clinical_only,target,Autism,autism_spectrum,232,195,0.23991726990692863
Autism,2023,clinical_only,target,Autism,autistic,77,71,0.0796277145811789
Autism,2023,lived_only,target,Autism,asd_disambiguated,3,3,0.004862236628849271
Autism,2023,lived_only,target,Autism,autism,331,282,0.5364667747163695
Autism,2023,lived_only,target,Autism,autism_spectrum,54,49,0.08752025931928688
Autism,2023,lived_only,target,Autism,autistic,229,187,0.3711507293354943
Autism,2023,mixed,target,Autism,asd_disambiguated,8,8,0.024615384615384615
Autism,2023,mixed,target,Autism,autism,204,184,0.6276923076923077
Autism,2023,mixed,target,Autism,autism_spectrum,43,42,0.13230769230769232
Autism,2023,mixed,target,Autism,autistic,70,62,0.2153846153846154
Autism,2023,substantive_core_overall,target,Autism,asd_disambiguated,42,36,0.022001047668936617
Autism,2023,substantive_core_overall,target,Autism,autism,1162,872,0.6086956521739131
Autism,2023,substantive_core_overall,target,Autism,autism_spectrum,329,278,0.17234154007333682
Autism,2023,substantive_core_overall,target,Autism,autistic,376,302,0.19696176008381353
Autism,2024,clinical_only,target,Autism,asd_disambiguated,27,24,0.03296703296703297
Autism,2024,clinical_only,target,Autism,autism,502,393,0.612942612942613
Autism,2024,clinical_only,target,Autism,autism_spectrum,226,198,0.27594627594627597
Autism,2024,clinical_only,target,Autism,autistic,64,56,0.07814407814407814
Autism,2024,lived_only,target,Autism,asd_disambiguated,1,1,0.0016806722689075631
Autism,2024,lived_only,target,Autism,autism,319,266,0.5361344537815126
Autism,2024,lived_only,target,Autism,autism_spectrum,76,68,0.12773109243697478
Autism,2024,lived_only,target,Autism,autistic,199,168,0.334453781512605
Autism,2024,mixed,target,Autism,asd_disambiguated,3,3,0.010452961672473868
Autism,2024,mixed,target,Autism,autism,176,149,0.6132404181184669
Autism,2024,mixed,target,Autism,autism_spectrum,38,33,0.13240418118466898
Autism,2024,mixed,target,Autism,autistic,70,59,0.24390243902439024
Autism,2024,substantive_core_overall,target,Autism,asd_disambiguated,31,28,0.018224573780129337
Autism,2024,substantive_core_overall,target,Autism,autism,997,758,0.5861258083480305
Autism,2024,substantive_core_overall,target,Autism,autism_spectrum,340,286,0.19988242210464433
Autism,2024,substantive_core_overall,target,Autism,autistic,333,257,0.19576719576719576
Autism,2025,clinical_only,target,Autism,asd_disambiguated,25,21,0.026343519494204427
Autism,2025,clinical_only,target,Autism,autism,645,483,0.6796628029504742
Autism,2025,clinical_only,target,Autism,autism_spectrum,219,184,0.23076923076923078
Autism,2025,clinical_only,target,Autism,autistic,60,54,0.06322444678609063
Autism,2025,lived_only,target,Autism,asd_disambiguated,2,2,0.0029282576866764276
Autism,2025,lived_only,target,Autism,autism,461,415,0.6749633967789166
Autism,2025,lived_only,target,Autism,autism_spectrum,55,49,0.08052708638360176
Autism,2025,lived_only,target,Autism,autistic,165,140,0.24158125915080528
Autism,2025,mixed,target,Autism,asd_disambiguated,7,6,0.021671826625386997
Autism,2025,mixed,target,Autism,autism,212,195,0.6563467492260062
Autism,2025,mixed,target,Autism,autism_spectrum,42,39,0.13003095975232198
Autism,2025,mixed,target,Autism,autistic,62,51,0.19195046439628483
Autism,2025,substantive_core_overall,target,Autism,asd_disambiguated,34,29,0.017391304347826087
Autism,2025,substantive_core_overall,target,Autism,autism,1318,1011,0.6741687979539642
Autism,2025,substantive_core_overall,target,Autism,autism_spectrum,316,261,0.16163682864450127
Autism,2025,substantive_core_overall,target,Autism,autistic,287,222,0.14680306905370843
Autism,2026,clinical_only,target,Autism,asd_disambiguated,12,12,0.034383954154727794
Autism,2026,clinical_only,target,Autism,autism,236,176,0.6762177650429799
Autism,2026,clinical_only,target,Autism,autism_spectrum,75,64,0.2148997134670487
Autism,2026,clinical_only,target,Autism,autistic,26,21,0.07449856733524356
Autism,2026,lived_only,target,Autism,autism,124,104,0.5610859728506787
Autism,2026,lived_only,target,Autism,autism_spectrum,19,19,0.08597285067873303
Autism,2026,lived_only,target,Autism,autistic,78,64,0.35294117647058826
Autism,2026,mixed,target,Autism,asd_disambiguated,2,2,0.019801980198019802
Autism,2026,mixed,target,Autism,autism,64,57,0.6336633663366337
Autism,2026,mixed,target,Autism,autism_spectrum,12,12,0.1188118811881188
Autism,2026,mixed,target,Autism,autistic,23,18,0.22772277227722773
Autism,2026,substantive_core_overall,target,Autism,asd_disambiguated,14,14,0.020864381520119227
Autism,2026,substantive_core_overall,target,Autism,autism,424,310,0.6318926974664679
Autism,2026,substantive_core_overall,target,Autism,autism_spectrum,106,93,0.15797317436661698
Autism,2026,substantive_core_overall,target,Autism,autistic,127,98,0.18926974664679583
