lsc_year,analysis_unit,frame_stratum,term_role,target_group,valence_mean,valence_sd,arousal_mean_for_reuse,dominance_mean_for_reuse,matched_vad_units,unique_collocates,documents_with_matches,context_rows,documents,candidate_collocate_tokens,matched_vad_units_coverage,matched_token_positions,contexts_with_vad_match,matched_token_coverage,context_match_coverage,small_cell_flag,bootstrap_repetitions,bootstrap_unit,valence_bootstrap_mean,valence_ci_low,valence_ci_high
2014,Autism,lived_only,target,Autism,0.24155448911612054,0.4417385365537959,-0.02420764970175846,0.1049500890851344,4303,1436,927,1303,937,5063,4303,4467,1288,0.8822832312857989,0.9884881043745203,False,500,doc_id,0.24181334757212905,0.22626799917232318,0.2568932638131653
2015,Autism,lived_only,target,Autism,0.22574967692892434,0.44640237869694643,-0.017438245914101102,0.09487369346256176,3508,1247,737,1055,741,4117,3508,3643,1045,0.8848676220548943,0.990521327014218,False,500,doc_id,0.22670111821854902,0.20846212746609727,0.24469383038047074
2016,Autism,lived_only,target,Autism,0.2530995159059474,0.43544389719911314,-0.023240980563441798,0.111663190652981,4579,1406,921,1367,931,5380,4579,4739,1353,0.8808550185873606,0.9897585954645208,False,500,doc_id,0.2530354304228947,0.23667053255730058,0.26773904765887496
2017,Autism,lived_only,target,Autism,0.24478315894924307,0.43514237578330295,-0.01866457034728406,0.11313063965568418,4492,1431,952,1368,959,5348,4492,4679,1350,0.87490650710546,0.9868421052631579,False,500,doc_id,0.2443570279349422,0.22782736700754835,0.25802416274951884
2018,Autism,lived_only,target,Autism,0.24338366260162603,0.4325279725481752,-0.02562201219512195,0.11172340650406504,4100,1386,866,1239,873,4830,4100,4234,1224,0.8766045548654244,0.9878934624697336,False,500,doc_id,0.2437582748130767,0.22725070212519607,0.26040878098402015
2019,Autism,lived_only,target,Autism,0.24878142543324383,0.43206823425254337,-0.026790090309982913,0.1246982100724107,4097,1332,829,1191,833,4782,4097,4236,1178,0.8858218318695107,0.9890848026868178,False,500,doc_id,0.24890098443129893,0.23203319197534616,0.26542085941025595
2020,Autism,lived_only,target,Autism,0.23785969696969697,0.4461307503895293,-0.024721543123543122,0.10997838228438228,3575,1243,777,1064,782,4208,3575,3695,1054,0.8780893536121673,0.9906015037593985,False,500,doc_id,0.2374101527593812,0.22044004717640722,0.255126116543866
2021,Autism,lived_only,target,Autism,0.2329876158091859,0.44118319194247557,-0.024640863394441156,0.10019673763059334,3382,1175,704,994,709,3931,3382,3523,981,0.8962096158738234,0.9869215291750503,False,500,doc_id,0.23339430685906207,0.2164369498167286,0.2529635121286389
2022,Autism,lived_only,target,Autism,0.2456395709570957,0.4286554569410513,-0.03079930693069307,0.12182911991199119,3030,1157,634,911,643,3557,3030,3121,899,0.8774247961765532,0.986827661909989,False,500,doc_id,0.24531713199213231,0.22663269607511655,0.2619935815705396
2023,Autism,lived_only,target,Autism,0.23740507123712795,0.42820493340349164,-0.026021244181125686,0.13104056989702356,2363,942,465,687,470,2752,2363,2426,679,0.8815406976744186,0.9883551673944687,False,500,doc_id,0.23683560281991042,0.21499990401836808,0.25633601085022745
