analysis_unit,frame_stratum,collocate,occurrences,documents,arousal_warriner_mean,arousal_scaled_mean,valence_warriner_mean,source_terms,unit_frame_occurrences,collocate_share
Autism,mixed,diagnosis,133,122,4.0,0.375,4.62,diagnosis,21745,0.0061163485858818116
Autism,mixed,condition,127,116,3.96,0.37,4.605,condition|conditioning,21745,0.005840423085766843
Autism,mixed,school,127,114,4.545,0.443125,5.805,school|schooling,21745,0.005840423085766843
Autism,mixed,syndrome,126,122,4.68,0.45999999999999996,4.33,syndrome,21745,0.0057944355024143485
Autism,mixed,high,125,115,4.1,0.38749999999999996,5.77,high,21745,0.005748447919061853
Autism,substantive_core_overall,disorder,6815,5237,4.9,0.48750000000000004,3.76,disorder,134438,0.05069251253365864
Autism,substantive_core_overall,child,6510,5090,5.21,0.52625,6.78,child|children,134438,0.04842380874455139
Autism,substantive_core_overall,people,2193,1787,3.7700000000000005,0.34625,5.7,people,134438,0.016312352162335054
Autism,substantive_core_overall,disability,1675,1461,3.9,0.3625,2.95,disability,134438,0.012459274907392254
Autism,substantive_core_overall,diagnose,1303,1207,3.7199999999999998,0.34,5.0,diagnose,134438,0.009692200121989318
Autism,substantive_core_overall,spectrum,1188,1036,3.05,0.25625,6.65,spectrum,134438,0.0088367872178997
Autism,substantive_core_overall,individual,1170,996,3.47,0.30875,6.17,individual,134438,0.008702896502476978
Autism,substantive_core_overall,include,1163,1101,3.05,0.25625,6.39,include,134438,0.008650827890923697
Autism,substantive_core_overall,cause,977,857,3.48,0.31,5.14,cause,134438,0.007267290498222229
Autism,substantive_core_overall,syndrome,927,835,4.68,0.45999999999999996,4.33,syndrome,134438,0.006895371844270221
Autism,substantive_core_overall,condition,917,858,3.96,0.37,4.605,condition|conditioning,134438,0.006820988113479819
Autism,substantive_core_overall,adult,911,786,4.36,0.42000000000000004,5.9,adult,134438,0.006776357875005579
Autism,substantive_core_overall,help,909,835,4.29,0.41125,6.95,help,134438,0.006761481128847498
Autism,substantive_core_overall,support,892,754,3.05,0.25625,6.89,support,134438,0.0066350287865038155
Autism,substantive_core_overall,vaccine,890,675,6.45,0.68125,6.48,vaccine,134438,0.006620152040345735
Autism,substantive_core_overall,learn,875,777,4.8,0.475,6.85,learn,134438,0.0065085764441601334
Autism,substantive_core_overall,year,850,780,3.33,0.29125,5.75,year,134438,0.00632261711718413
Autism,substantive_core_overall,son,846,777,4.43,0.42874999999999996,6.909999999999999,son,134438,0.006292863624867969
Autism,substantive_core_overall,diagnosis,835,762,4.0,0.375,4.62,diagnosis,134438,0.006211041520998527
Autism,substantive_core_overall,family,809,738,4.35,0.41874999999999996,7.25,family,134438,0.006017643820943483
Autism,substantive_core_overall,like,786,747,4.4,0.425,7.44,like,134438,0.005846561240125559
Autism,substantive_core_overall,need,747,695,3.67,0.33375,5.45,need,134438,0.005556464690042994
Autism,substantive_core_overall,young,744,682,4.09,0.38625,6.31,young,134438,0.005534149570805873
Autism,substantive_core_overall,student,736,631,4.25,0.40625,6.41,student,134438,0.0054746425861735525
Autism,substantive_core_overall,research,699,616,4.8,0.475,6.5,research,134438,0.005199422782249066
frustration,unframed_baseline,anger,6150,5778,5.93,0.61625,2.5,anger,333098,0.018463034902641264
frustration,unframed_baseline,time,5280,5078,3.3333333333333335,0.2916666666666667,5.726666666666667,time|times|timing,333098,0.015851190940804206
frustration,unframed_baseline,express,5221,5056,4.79,0.47375,5.53,express,333098,0.015674065890518705
frustration,unframed_baseline,lead,5007,4774,3.735,0.34187500000000004,5.039999999999999,lead|leaded,333098,0.015031612318296717
frustration,unframed_baseline,cause,4008,3916,3.48,0.31,5.14,cause,333098,0.012032494941428648
frustration,unframed_baseline,feel,2830,2751,3.955,0.369375,6.385,feel|feeling,333098,0.008495998174711345
frustration,unframed_baseline,save,2751,2663,4.62,0.4525,7.26,save,333098,0.008258830734498556
frustration,unframed_baseline,experience,2574,2510,3.7099999999999995,0.33875,6.890000000000001,experience,333098,0.007727455583642052
frustration,unframed_baseline,understand,2393,2335,3.3049999999999997,0.28812499999999996,6.91,understand|understanding,333098,0.007184071954800089
frustration,unframed_baseline,stress,2032,1951,4.72,0.46499999999999997,1.79,stress,333098,0.006100306816612528
frustration,unframed_baseline,source,1895,1854,4.5,0.4375,5.48,source,333098,0.005689016445610601
frustration,unframed_baseline,confusion,1892,1822,4.64,0.45499999999999996,3.32,confusion,333098,0.005680010087121508
frustration,unframed_baseline,come,1891,1857,3.57,0.32125,5.64,come,333098,0.005677007967625144
frustration,unframed_baseline,anxiety,1678,1611,4.78,0.47250000000000003,2.38,anxiety,333098,0.005037556514899519
frustration,unframed_baseline,reduce,1676,1598,3.67,0.33375,5.099999999999999,reduce,333098,0.00503155227590679
frustration,unframed_baseline,avoid,1562,1530,3.92,0.365,4.1,avoid,333098,0.004689310653321245
frustration,unframed_baseline,result,1556,1534,4.14,0.39249999999999996,6.11,result,333098,0.004671297936343058
frustration,unframed_baseline,disappointment,1547,1506,4.9,0.4875,2.79,disappointment,333098,0.004644278860875779
frustration,unframed_baseline,fear,1506,1452,6.14,0.6425,2.93,fear,333098,0.004521191961524836
frustration,unframed_baseline,people,1366,1333,3.7699999999999996,0.34625,5.7,people,333098,0.004100895232033816
frustration,unframed_baseline,help,1362,1334,4.29,0.41125000000000006,6.949999999999999,help,333098,0.004088886754048358
frustration,unframed_baseline,grow,1325,1294,2.6,0.2,6.28,grow,333098,0.0039778083326828745
frustration,unframed_baseline,try,1258,1247,4.0,0.375,5.64,try,333098,0.003776666326426457
frustration,unframed_baseline,know,1254,1238,3.24,0.28,6.82,know,333098,0.0037646578484409996
