analysis_unit,frame_stratum,frame_label,period,period_order,period_start,period_end,contribution_direction,rank,collocate,collocate_type,content_lemmas,same_target_vocabulary_collocate,other_target_vocabulary_collocate,occurrences,documents,arousal,weighted_arousal_contribution,arousal_contribution_to_filtered_mean,match_share,total_filtered_matches_for_cell,total_filtered_documents_for_cell,filtered_arousal_mean
Autism,substantive_core_overall,Overall,2018-2021,2,2018,2021,arousal_raising,4,challenge,unigram,challenge,False,False,138,131,0.7555000000000001,104.25900000000001,0.00214529105537151,0.002839564600094652,48599,8244,0.004830118246603156
Autism,substantive_core_overall,Overall,2018-2021,2,2018,2021,arousal_raising,5,anxiety,unigram,anxiety,False,False,141,133,0.73,102.92999999999999,0.0021179448136792937,0.002901294265314101,48599,8244,0.004830118246603156
Autism,substantive_core_overall,Overall,2022-2026,3,2022,2026,arousal_lowering,1,individual,unigram,individual,False,False,477,392,-0.34600000000000003,-165.042,-0.004724665063552044,0.013655101339745792,34932,5739,0.015063877438070158
Autism,substantive_core_overall,Overall,2022-2026,3,2022,2026,arousal_lowering,2,people,unigram,people,False,False,559,457,-0.15000000000000002,-83.85000000000001,-0.002400377877018207,0.01600251918012138,34932,5739,0.015063877438070158
Autism,substantive_core_overall,Overall,2022-2026,3,2022,2026,arousal_lowering,3,family,unigram,family,False,False,197,184,-0.4085,-80.47449999999999,-0.0023037472804305504,0.005639528226268178,34932,5739,0.015063877438070158
Autism,substantive_core_overall,Overall,2022-2026,3,2022,2026,arousal_lowering,4,include,unigram,include,False,False,323,303,-0.18066666666666667,-58.355333333333334,-0.0016705408603381808,0.009246536127333104,34932,5739,0.015063877438070158
Autism,substantive_core_overall,Overall,2022-2026,3,2022,2026,arousal_lowering,5,center,unigram,center,False,False,104,85,-0.538,-55.952000000000005,-0.0016017405244474982,0.0029772128707202567,34932,5739,0.015063877438070158
Autism,substantive_core_overall,Overall,2022-2026,3,2022,2026,arousal_raising,1,disorder,unigram,disorder,False,False,1673,1261,0.53,886.69,0.025383316157105235,0.04789304935302874,34932,5739,0.015063877438070158
Autism,substantive_core_overall,Overall,2022-2026,3,2022,2026,arousal_raising,2,developmental,unigram,developmental,False,False,244,230,0.667,162.74800000000002,0.004658994618115196,0.006984999427459063,34932,5739,0.015063877438070158
Autism,substantive_core_overall,Overall,2022-2026,3,2022,2026,arousal_raising,3,dangerous,unigram,dangerous,False,False,183,183,0.882,161.406,0.00462057712126417,0.0052387495705942975,34932,5739,0.015063877438070158
Autism,substantive_core_overall,Overall,2022-2026,3,2022,2026,arousal_raising,4,obsession,unigram,obsession,False,False,179,179,0.694,124.22599999999998,0.0035562235199816782,0.005124241383258903,34932,5739,0.015063877438070158
Autism,substantive_core_overall,Overall,2022-2026,3,2022,2026,arousal_raising,5,anxiety,unigram,anxiety,False,False,133,124,0.73,97.09,0.002779399977098363,0.0038073972289018663,34932,5739,0.015063877438070158
Autism,clinical_only,Clinical,2014-2017,1,2014,2017,arousal_lowering,1,link,unigram,link,False,False,367,331,-0.472,-173.224,-0.004987303141105,0.01056632021420551,34733,5698,0.021785692281115945
Autism,clinical_only,Clinical,2014-2017,1,2014,2017,arousal_lowering,2,individual,unigram,individual,False,False,193,168,-0.346,-66.77799999999999,-0.0019226096219733392,0.005556675208015432,34733,5698,0.021785692281115945
Autism,clinical_only,Clinical,2014-2017,1,2014,2017,arousal_lowering,3,center,unigram,center,False,False,124,104,-0.538,-66.712,-0.001920709411798578,0.00357009184349178,34733,5698,0.021785692281115945
Autism,clinical_only,Clinical,2014-2017,1,2014,2017,arousal_lowering,4,treatment,unigram,treatment,False,False,254,226,-0.228,-57.912,-0.0016673480551636771,0.0073129300665073565,34733,5698,0.021785692281115945
