lsc_year,analysis_unit,frame_stratum,term_role,target_group,valence_warriner_mean,valence_warriner_sd,valence_scaled_mean,valence_scaled_sd,arousal_warriner_mean_for_reuse,arousal_scaled_mean_for_reuse,dominance_warriner_mean_for_reuse,matched_warriner_units,unique_collocates,documents_with_matches,context_rows,documents,candidate_collocate_tokens,matched_warriner_units_coverage,matched_token_positions,contexts_with_warriner_match,matched_token_coverage,context_match_coverage,small_cell_flag,bootstrap_repetitions,bootstrap_unit,valence_warriner_bootstrap_mean,valence_warriner_ci_low,valence_warriner_ci_high,valence_scaled_bootstrap_mean,valence_scaled_ci_low,valence_scaled_ci_high
2023,ADHD,substantive_core_overall,target,ADHD,5.349807200292398,1.4213545498386424,0.5437259000365497,0.1776693187298303,4.205005939327485,0.4006257424159356,5.356578490497076,3648,988,737,1208,752,4542,3648,3649,1165,0.8033905768383972,0.9644039735099338,False,500,doc_id,5.350080944083292,5.288743215657849,5.409179828903364,0.5437601180104115,0.5360929019572312,0.5511474786129205
2024,ADHD,substantive_core_overall,target,ADHD,5.343599963096226,1.4290894902715587,0.5429499953870283,0.17863618628394484,4.18873189408617,0.39859148676077133,5.365743149737061,3613,956,714,1171,729,4524,3613,3614,1136,0.7988505747126436,0.9701110162254484,False,500,doc_id,5.344646669079451,5.281425122579404,5.409247078048566,0.5430808336349314,0.5351781403224256,0.5511558847560708
2025,ADHD,substantive_core_overall,target,ADHD,5.314092246745897,1.4023957993157412,0.5392615308432371,0.1752994749144676,4.165739105829089,0.3957173882286361,5.3735574419920775,2945,884,555,904,572,3695,2945,2945,858,0.79702300405954,0.9491150442477876,False,500,doc_id,5.313791469702295,5.24784759058005,5.3757924857917985,0.5392239337127868,0.5309809488225062,0.5469740607239748
2026,ADHD,substantive_core_overall,target,ADHD,5.2904722979109895,1.3945346343451,0.5363090372388737,0.1743168292931375,4.125558583106267,0.39069482288828333,5.3511364668483195,1468,561,258,424,259,1829,1468,1468,419,0.8026243849097867,0.9882075471698113,False,500,doc_id,5.287452624979764,5.192014414209766,5.366342140106481,0.5359315781224705,0.5240018017762208,0.5457927675133101
2014,Autism,clinical_only,target,Autism,5.411657129471607,1.3137055395794048,0.5514571411839508,0.1642131924474256,4.220944851587859,0.4026181064484824,5.352200749590068,9961,1592,1707,2850,1708,12440,9961,9970,2839,0.8014469453376206,0.996140350877193,False,500,doc_id,5.412891058624014,5.380427532894518,5.443764137079214,0.5516113823280018,0.5475534416118147,0.5554705171349017
2015,Autism,clinical_only,target,Autism,5.359857500223354,1.333206978031313,0.5449821875279193,0.16665087225391412,4.2334119538997586,0.4041764942374699,5.318305860805861,7462,1435,1312,2083,1322,9455,7462,7482,2066,0.7913273400317292,0.9918386941910706,False,500,doc_id,5.360419314306475,5.324312128992454,5.39978070526297,0.5450524142883094,0.5405390161240567,0.5499725881578712
2016,Autism,clinical_only,target,Autism,5.3156943541747905,1.3648812474597314,0.5394617942718488,0.17061015593246642,4.23607738636856,0.40450967329607,5.300949781186359,7693,1497,1386,2175,1392,9691,7693,7707,2166,0.7952739655350325,0.9958620689655172,False,500,doc_id,5.315892652696632,5.274236509049064,5.354655378932011,0.539486581587079,0.534279563631133,0.5443319223665014
2017,Autism,clinical_only,target,Autism,5.3506821014284345,1.349907388434474,0.5438352626785543,0.16873842355430926,4.245941424599751,0.4057426780749689,5.318170836928386,6954,1426,1285,1984,1290,8756,6954,6960,1971,0.7948835084513477,0.9934475806451613,False,500,doc_id,5.3508411512279235,5.307076149452778,5.391023393688976,0.5438551439034904,0.5383845186815972,0.548877924211122
2018,Autism,clinical_only,target,Autism,5.321104021655066,1.3699812676808398,0.5401380027068832,0.17124765846010498,4.217580239752514,0.4021975299690642,5.307540119876257,6896,1417,1271,1959,1277,8730,6896,6915,1942,0.7920962199312714,0.9913221031138336,False,500,doc_id,5.320500425935903,5.284192067541461,5.363227673255647,0.5400625532419882,0.5355240084426827,0.5454034591569558
2019,Autism,clinical_only,target,Autism,5.359677251288801,1.3431993439102985,0.5449596564111001,0.1678999179887873,4.211792530437644,0.4014740663047055,5.331909893605353,6078,1301,1095,1717,1097,7605,6078,6084,1711,0.8,0.9965055329062318,False,500,doc_id,5.359535603774631,5.316740312599379,5.402803106039579,0.5449419504718289,0.5395925390749223,0.5503503882549475
2020,Autism,clinical_only,target,Autism,5.310719937694704,1.3691554949878937,0.538839992211838,0.1711444368734867,4.2206246105919005,0.40257807632398757,5.309104672897196,5350,1251,1027,1532,1031,6811,5350,5355,1518,0.7862281603288798,0.9908616187989556,False,500,doc_id,5.310144911081694,5.262670182919705,5.352847797933483,0.5387681138852116,0.5328337728649631,0.5441059747416853
2021,Autism,clinical_only,target,Autism,5.343152914210871,1.3534795214558877,0.5428941142763589,0.16918494018198596,4.220644400785855,0.40258055009823185,5.336166339227243,5090,1198,914,1413,924,6406,5090,5093,1398,0.7950359038401499,0.9893842887473461,False,500,doc_id,5.342155983860141,5.292600941109271,5.384145407714813,0.5427694979825176,0.5365751176386588,0.5480181759643517
2022,Autism,clinical_only,target,Autism,5.343844131006454,1.364427263529338,0.5429805163758068,0.17055340794116725,4.203125747071479,0.400390718383935,5.344059287592637,4183,1069,770,1175,772,5278,4183,4184,1168,0.7927245168624479,0.9940425531914894,False,500,doc_id,5.344525486033907,5.29047417896526,5.395473500483407,0.5430656857542384,0.5363092723706575,0.5494341875604258
2023,Autism,clinical_only,target,Autism,5.370217991884658,1.3151049101457455,0.5462772489855823,0.16438811376821819,4.190539152205819,0.39881739402572736,5.376325649658983,3861,1012,674,1092,678,4927,3861,3864,1078,0.7842500507408159,0.9871794871794872,False,500,doc_id,5.3682845859569515,5.312761912958589,5.418916650219504,0.5460355732446189,0.5390952391198236,0.552364581277438
