analysis_unit,frame_stratum,collocate,occurrences,documents,valence_warriner_mean,valence_scaled_mean,arousal_warriner_mean,source_terms,unit_frame_occurrences,collocate_share
Autism,clinical_only,do,429,391,5.41,0.55125,3.67,do,83888,0.005113961472439443
Autism,clinical_only,brain,426,377,6.22,0.6525,3.3500000000000005,brain,83888,0.005078199504100706
Autism,clinical_only,disease,423,378,1.68,0.08499999999999999,5.5,disease,83888,0.005042437535761968
Autism,lived_only,be,4331,3385,6.18,0.6475,3.43,be,50878,0.08512520146232164
Autism,lived_only,have,2064,1775,5.86,0.6075,3.52,have,50878,0.04056763237548646
Autism,lived_only,child,1835,1534,7.2,0.775,5.329999999999999,child,50878,0.03606666928731475
Autism,lived_only,people,1065,866,5.7,0.5875,3.77,people,50878,0.020932426589095485
Autism,lived_only,disorder,718,639,3.76,0.345,4.9,disorder,50878,0.014112189944573294
Autism,lived_only,son,615,571,6.909999999999999,0.73875,4.43,son,50878,0.012087739297928378
Autism,lived_only,disability,509,470,2.95,0.24375000000000002,3.9,disability,50878,0.010004324069342348
Autism,lived_only,diagnose,459,438,5.0,0.5,3.72,diagnose,50878,0.009021581036990448
Autism,lived_only,can,438,417,6.41,0.67625,3.1400000000000006,can,50878,0.00860882896340265
Autism,lived_only,year,429,391,5.75,0.59375,3.33,year,50878,0.008431935217579307
Autism,lived_only,old,400,367,3.19,0.27375,4.48,old,50878,0.007861944258815205
Autism,lived_only,other,381,370,5.41,0.55125,3.4799999999999995,other,50878,0.007488501906521483
Autism,lived_only,adult,370,334,5.9,0.6125,4.36,adult,50878,0.007272298439404064
Autism,lived_only,family,362,337,7.25,0.78125,4.35,family,50878,0.007115059554227761
Autism,lived_only,individual,361,323,6.17,0.64625,3.47,individual,50878,0.007095404693580723
Autism,lived_only,support,359,311,6.89,0.73625,3.0500000000000003,support,50878,0.007056094972286647
Autism,lived_only,spectrum,356,328,6.65,0.70625,3.05,spectrum,50878,0.006997130390345533
Autism,lived_only,do,348,326,5.41,0.55125,3.6700000000000004,do,50878,0.006839891505169228
Autism,lived_only,young,335,322,6.31,0.66375,4.09,young,50878,0.006584378316757734
Autism,lived_only,kid,324,295,7.2299999999999995,0.77875,4.71,kid,50878,0.006368174849640316
Autism,lived_only,awareness,317,260,6.45,0.68125,3.7300000000000004,awareness,50878,0.00623059082511105
Autism,lived_only,learn,315,291,6.85,0.73125,4.8,learn,50878,0.006191281103816974
Autism,lived_only,syndrome,301,279,4.33,0.41625,4.68,syndrome,50878,0.0059161130547584415
Autism,lived_only,need,300,281,5.45,0.55625,3.67,need,50878,0.005896458194111403
Autism,lived_only,help,298,286,6.949999999999999,0.74375,4.29,help,50878,0.005857148472817327
Autism,mixed,be,1758,1467,6.179999999999999,0.6474999999999999,3.43,be,26069,0.06743641873489585
Autism,mixed,child,1238,1063,7.2,0.775,5.33,child,26069,0.04748935517281062
