analysis_unit,frame_stratum,frame_label,period,period_order,period_start,period_end,rank,word,occurrences_in_high_distance_contexts,high_distance_contexts_with_word,high_distance_documents_with_word,high_distance_contexts_used,context_share,mean_context_avg_distance
Autism,clinical_only,Clinical,2018-2021,2,2018,2021,4,organization,3,3,3,20,0.15,0.4200223496043744
Autism,clinical_only,Clinical,2018-2021,2,2018,2021,5,speaks,3,3,3,20,0.15,0.4078384967795812
Autism,clinical_only,Clinical,2018-2021,2,2018,2021,6,disorder,5,2,2,20,0.1,0.40494500349578794
Autism,clinical_only,Clinical,2018-2021,2,2018,2021,7,accord,2,2,2,20,0.1,0.4629320195316059
Autism,clinical_only,Clinical,2018-2021,2,2018,2021,8,achieve,2,2,2,20,0.1,0.4700899909318164
Autism,clinical_only,Clinical,2018-2021,2,2018,2021,9,diagnosis,2,2,2,20,0.1,0.4150441211441889
Autism,clinical_only,Clinical,2018-2021,2,2018,2021,10,education,2,2,2,20,0.1,0.3956527850066739
Autism,clinical_only,Clinical,2022-2026,3,2022,2026,1,speaks,7,6,6,20,0.3,0.40240144015716084
Autism,clinical_only,Clinical,2022-2026,3,2022,2026,2,need,6,6,6,20,0.3,0.39574559861450886
Autism,clinical_only,Clinical,2022-2026,3,2022,2026,3,developmental,7,4,4,20,0.2,0.3892422898458209
Autism,clinical_only,Clinical,2022-2026,3,2022,2026,4,treatment,5,4,4,20,0.2,0.38809674350074574
Autism,clinical_only,Clinical,2022-2026,3,2022,2026,5,research,4,4,4,20,0.2,0.4233182315917674
Autism,clinical_only,Clinical,2022-2026,3,2022,2026,6,early,6,3,3,20,0.15,0.3715344395616503
Autism,clinical_only,Clinical,2022-2026,3,2022,2026,7,intervention,5,3,3,20,0.15,0.36166804275603015
Autism,clinical_only,Clinical,2022-2026,3,2022,2026,8,disorder,4,3,3,20,0.15,0.38827940679698403
Autism,clinical_only,Clinical,2022-2026,3,2022,2026,9,bring,3,3,3,20,0.15,0.42780760070246765
Autism,clinical_only,Clinical,2022-2026,3,2022,2026,10,child,3,3,3,20,0.15,0.42234827466405395
Autism,lived_only,Lived experience,2014-2017,1,2014,2017,1,far,6,6,6,20,0.3,0.5033663272976155
Autism,lived_only,Lived experience,2014-2017,1,2014,2017,2,car,10,5,5,20,0.25,0.4865757942872735
Autism,lived_only,Lived experience,2014-2017,1,2014,2017,3,actually,5,5,5,20,0.25,0.4865757942872735
Autism,lived_only,Lived experience,2014-2017,1,2014,2017,4,attitude,5,5,5,20,0.25,0.4865757942872735
Autism,lived_only,Lived experience,2014-2017,1,2014,2017,5,away,5,5,5,20,0.25,0.4865757942872735
Autism,lived_only,Lived experience,2014-2017,1,2014,2017,6,driver,5,5,5,20,0.25,0.4865757942872735
Autism,lived_only,Lived experience,2014-2017,1,2014,2017,7,fascination,5,5,5,20,0.25,0.4865757942872735
Autism,lived_only,Lived experience,2014-2017,1,2014,2017,8,key,5,5,5,20,0.25,0.4865757942872735
Autism,lived_only,Lived experience,2014-2017,1,2014,2017,9,mama,5,5,5,20,0.25,0.4865757942872735
Autism,lived_only,Lived experience,2014-2017,1,2014,2017,10,people,5,5,5,20,0.25,0.4865757942872735
Autism,lived_only,Lived experience,2018-2021,2,2018,2021,1,world,6,6,6,20,0.3,0.5652875128298938
Autism,lived_only,Lived experience,2018-2021,2,2018,2021,2,day,5,5,5,20,0.25,0.5760523825116206
Autism,lived_only,Lived experience,2018-2021,2,2018,2021,3,feel,5,5,5,20,0.25,0.5760523825116206
Autism,lived_only,Lived experience,2018-2021,2,2018,2021,4,high,5,5,5,20,0.25,0.5685586493993251
Autism,lived_only,Lived experience,2018-2021,2,2018,2021,5,work,5,5,5,20,0.25,0.5608911152533504
Autism,lived_only,Lived experience,2018-2021,2,2018,2021,6,finance,8,4,4,20,0.2,0.5804049886421212
Autism,lived_only,Lived experience,2018-2021,2,2018,2021,7,attempt,4,4,4,20,0.2,0.5804049886421212
Autism,lived_only,Lived experience,2018-2021,2,2018,2021,8,consistently,4,4,4,20,0.2,0.5804049886421212
Autism,lived_only,Lived experience,2018-2021,2,2018,2021,9,edition,4,4,4,20,0.2,0.5804049886421212
Autism,lived_only,Lived experience,2018-2021,2,2018,2021,10,emphatically,4,4,4,20,0.2,0.5804049886421212
Autism,lived_only,Lived experience,2022-2026,3,2022,2026,1,experience,3,3,3,20,0.15,0.49288663701804064
Autism,lived_only,Lived experience,2022-2026,3,2022,2026,2,think,3,3,3,20,0.15,0.4514721008592754
Autism,lived_only,Lived experience,2022-2026,3,2022,2026,3,people,3,2,2,20,0.1,0.43000930411140575
Autism,lived_only,Lived experience,2022-2026,3,2022,2026,4,program,3,2,2,20,0.1,0.4509537520761826
Autism,lived_only,Lived experience,2022-2026,3,2022,2026,5,speaks,3,2,2,20,0.1,0.43129689803042986
Autism,lived_only,Lived experience,2022-2026,3,2022,2026,6,case,2,2,2,20,0.1,0.4886769577350819
Autism,lived_only,Lived experience,2022-2026,3,2022,2026,7,commit,2,2,2,20,0.1,0.4624730687173484
Autism,lived_only,Lived experience,2022-2026,3,2022,2026,8,community,2,2,2,20,0.1,0.4381245113362053
Autism,lived_only,Lived experience,2022-2026,3,2022,2026,9,fact,2,2,2,20,0.1,0.48129193938036396
Autism,lived_only,Lived experience,2022-2026,3,2022,2026,10,family,2,2,2,20,0.1,0.4545881762212615
