analysis_unit,frame_stratum,frame_label,period,period_order,period_start,period_end,contribution_direction,rank,collocate,collocate_type,content_lemmas,same_target_vocabulary_collocate,other_target_vocabulary_collocate,occurrences,documents,valence,weighted_valence_contribution,valence_contribution_to_filtered_mean,match_share,total_filtered_matches_for_cell,total_filtered_documents_for_cell,filtered_valence_mean
Autism,substantive_core_overall,Overall,2022-2026,3,2022,2026,negative,3,disability,unigram,disability,False,False,304,274,-0.854,-259.616,-0.007432039390816443,0.008702622237489981,34932,5739,0.14197450093515018
Autism,substantive_core_overall,Overall,2022-2026,3,2022,2026,negative,4,dangerous,unigram,dangerous,False,False,183,183,-0.9600000000000001,-175.68,-0.005029199587770526,0.0052387495705942975,34932,5739,0.14197450093515018
Autism,substantive_core_overall,Overall,2022-2026,3,2022,2026,negative,5,diagnose,unigram,diagnose,False,False,347,315,-0.4555,-158.0585,-0.004524748081987862,0.00993358525134547,34932,5739,0.14197450093515018
Autism,substantive_core_overall,Overall,2022-2026,3,2022,2026,positive,1,child,unigram,child,False,False,1338,1051,0.7689999999999998,1028.9219999999998,0.029454998282377184,0.038302988663689454,34932,5739,0.14197450093515018
Autism,substantive_core_overall,Overall,2022-2026,3,2022,2026,positive,2,family,unigram,family,False,False,197,184,0.8845000000000002,174.24650000000003,0.004988162716134204,0.005639528226268178,34932,5739,0.14197450093515018
Autism,substantive_core_overall,Overall,2022-2026,3,2022,2026,positive,3,developmental,unigram,developmental,False,False,244,230,0.704,171.77599999999998,0.00491743959693118,0.006984999427459063,34932,5739,0.14197450093515018
Autism,substantive_core_overall,Overall,2022-2026,3,2022,2026,positive,4,support,unigram,support,False,False,296,239,0.532,157.472,0.00450795831901981,0.008473605862819191,34932,5739,0.14197450093515018
Autism,substantive_core_overall,Overall,2022-2026,3,2022,2026,positive,5,include,unigram,include,False,False,323,303,0.4593333333333333,148.36466666666666,0.004247242261155006,0.009246536127333104,34932,5739,0.14197450093515018
Autism,clinical_only,Clinical,2014-2017,1,2014,2017,negative,1,disorder,unigram,disorder,False,False,2103,1627,-0.675,-1419.525,-0.040869634065586045,0.060547606023090436,34733,5698,0.07693901764892176
Autism,clinical_only,Clinical,2014-2017,1,2014,2017,negative,2,disability,unigram,disability,False,False,267,241,-0.854,-228.018,-0.006564880661042812,0.007687213888808914,34733,5698,0.07693901764892176
Autism,clinical_only,Clinical,2014-2017,1,2014,2017,negative,3,disease,unigram,disease,False,False,197,173,-0.8360000000000001,-164.692,-0.004741657789422164,0.005671839461031296,34733,5698,0.07693901764892176
Autism,clinical_only,Clinical,2014-2017,1,2014,2017,negative,4,schizophrenia,unigram,schizophrenia,False,False,192,161,-0.816,-156.672,-0.004510753462125356,0.005527884144761466,34733,5698,0.07693901764892176
Autism,clinical_only,Clinical,2014-2017,1,2014,2017,negative,5,adhd,unigram,adhd,False,True,259,243,-0.484,-125.356,-0.003609132525264158,0.007456885382777186,34733,5698,0.07693901764892176
Autism,clinical_only,Clinical,2014-2017,1,2014,2017,positive,1,child,unigram,child,False,False,1449,1200,0.769,1114.281,0.03208133475369245,0.04171825065499669,34733,5698,0.07693901764892176
Autism,clinical_only,Clinical,2014-2017,1,2014,2017,positive,2,developmental,unigram,developmental,False,False,303,282,0.704,213.31199999999998,0.006141479284829989,0.008723692165951688,34733,5698,0.07693901764892176
Autism,clinical_only,Clinical,2014-2017,1,2014,2017,positive,3,include,unigram,include,False,False,305,286,0.4593333333333334,140.0966666666667,0.004033531991669786,0.008781274292459621,34733,5698,0.07693901764892176
Autism,clinical_only,Clinical,2014-2017,1,2014,2017,positive,4,study,unigram,study,False,False,270,247,0.47333333333333333,127.8,0.003679497883856851,0.0077735870785708115,34733,5698,0.07693901764892176
Autism,clinical_only,Clinical,2014-2017,1,2014,2017,positive,5,intellectual,unigram,intellectual,False,False,113,99,0.812,91.756,0.0026417527999309013,0.0032533901476981546,34733,5698,0.07693901764892176
