analysis_unit,frame_stratum,frame_label,period,period_order,period_start,period_end,contribution_direction,rank,collocate,collocate_type,same_target_vocabulary_collocate,other_target_vocabulary_collocate,occurrences,documents,arousal,weighted_arousal_contribution,arousal_contribution_to_cell_mean,match_share,total_matches_for_cell,total_documents_for_cell,arousal_mean_for_cell
Autism,substantive_core_overall,Overall,2018-2021,2,2018,2021,arousal_lowering,1,people,unigram,False,False,871,709,-0.15,-130.65,-0.002675170973422335,0.0178344731561489,48838,8243,0.00757889348458168
Autism,substantive_core_overall,Overall,2018-2021,2,2018,2021,arousal_lowering,2,individual,unigram,False,False,339,300,-0.346,-117.294,-0.002401695401122077,0.006941316188214096,48838,8243,0.00757889348458168
Autism,substantive_core_overall,Overall,2018-2021,2,2018,2021,arousal_lowering,3,family,unigram,False,False,251,226,-0.4085,-102.53349999999999,-0.002099461484909292,0.00513944059953315,48838,8243,0.00757889348458168
Autism,substantive_core_overall,Overall,2018-2021,2,2018,2021,arousal_lowering,4,student,unigram,False,False,263,224,-0.364,-95.732,-0.0019601949301773208,0.005385150907080552,48838,8243,0.00757889348458168
Autism,substantive_core_overall,Overall,2018-2021,2,2018,2021,arousal_lowering,5,center,unigram,False,False,151,126,-0.538,-81.238,-0.0016634178303779844,0.0030918547033048035,48838,8243,0.00757889348458168
Autism,substantive_core_overall,Overall,2018-2021,2,2018,2021,arousal_raising,1,disorder,unigram,False,False,2238,1753,0.53,1186.14,0.024287235349522915,0.0458249723575904,48838,8243,0.00757889348458168
Autism,substantive_core_overall,Overall,2018-2021,2,2018,2021,arousal_raising,2,developmental,unigram,False,False,321,300,0.667,214.107,0.004384024734837627,0.006572750726892993,48838,8243,0.00757889348458168
Autism,substantive_core_overall,Overall,2018-2021,2,2018,2021,arousal_raising,3,spectrum,unigram,True,False,452,383,0.4,180.8,0.003702035300380851,0.009255088250952127,48838,8243,0.00757889348458168
Autism,substantive_core_overall,Overall,2018-2021,2,2018,2021,arousal_raising,4,challenge,unigram,False,False,138,131,0.7555000000000001,104.25900000000001,0.0021347925795487123,0.0028256685367951187,48838,8243,0.00757889348458168
Autism,substantive_core_overall,Overall,2018-2021,2,2018,2021,arousal_raising,5,anxiety,unigram,False,False,138,131,0.73,100.74,0.0020627380318604363,0.0028256685367951187,48838,8243,0.00757889348458168
Autism,substantive_core_overall,Overall,2022-2026,3,2022,2026,arousal_lowering,1,individual,unigram,False,False,477,392,-0.34600000000000003,-165.042,-0.004701917324292755,0.013589356428591779,35101,5741,0.01664056294692459
Autism,substantive_core_overall,Overall,2022-2026,3,2022,2026,arousal_lowering,2,people,unigram,False,False,564,460,-0.15000000000000002,-84.60000000000001,-0.0024101877439389194,0.01606791829292613,35101,5741,0.01664056294692459
Autism,substantive_core_overall,Overall,2022-2026,3,2022,2026,arousal_lowering,3,family,unigram,False,False,199,185,-0.4085,-81.2915,-0.0023159311700521354,0.005669354149454431,35101,5741,0.01664056294692459
Autism,substantive_core_overall,Overall,2022-2026,3,2022,2026,arousal_lowering,4,student,unigram,False,False,162,143,-0.364,-58.967999999999996,-0.001679952138115723,0.004615253126691548,35101,5741,0.01664056294692459
Autism,substantive_core_overall,Overall,2022-2026,3,2022,2026,arousal_lowering,5,center,unigram,False,False,109,87,-0.538,-58.642,-0.0016706646534286774,0.003105324634625794,35101,5741,0.01664056294692459
Autism,substantive_core_overall,Overall,2022-2026,3,2022,2026,arousal_raising,1,disorder,unigram,False,False,1671,1259,0.53,885.63,0.025230905102418735,0.04760548132531837,35101,5741,0.01664056294692459
Autism,substantive_core_overall,Overall,2022-2026,3,2022,2026,arousal_raising,2,developmental,unigram,False,False,244,230,0.667,162.74800000000002,0.004636563060881457,0.0069513689068687505,35101,5741,0.01664056294692459
Autism,substantive_core_overall,Overall,2022-2026,3,2022,2026,arousal_raising,3,dangerous,unigram,False,False,183,183,0.882,161.406,0.004598330531893679,0.005213526680151562,35101,5741,0.01664056294692459
Autism,substantive_core_overall,Overall,2022-2026,3,2022,2026,arousal_raising,4,obsession,unigram,False,False,179,179,0.694,124.22599999999998,0.0035391014501011363,0.005099569812825846,35101,5741,0.01664056294692459
Autism,substantive_core_overall,Overall,2022-2026,3,2022,2026,arousal_raising,5,anxiety,unigram,False,False,131,123,0.73,95.63,0.0027244238055895843,0.003732087404917239,35101,5741,0.01664056294692459
Autism,clinical_only,Clinical,2014-2017,1,2014,2017,arousal_lowering,1,link,unigram,False,False,367,331,-0.472,-173.224,-0.004970416917735502,0.010530544317236235,34851,5699,0.023674290072977344
Autism,clinical_only,Clinical,2014-2017,1,2014,2017,arousal_lowering,2,center,unigram,False,False,135,112,-0.538,-72.63000000000001,-0.002084014805887923,0.0038736334681931653,34851,5699,0.023674290072977344
Autism,clinical_only,Clinical,2014-2017,1,2014,2017,arousal_lowering,3,individual,unigram,False,False,193,168,-0.346,-66.77799999999999,-0.0019160999684370605,0.005537861180453933,34851,5699,0.023674290072977344
Autism,clinical_only,Clinical,2014-2017,1,2014,2017,arousal_lowering,4,treatment,unigram,False,False,254,226,-0.228,-57.912,-0.0016617026771111301,0.0072881696364523255,34851,5699,0.023674290072977344
Autism,clinical_only,Clinical,2014-2017,1,2014,2017,arousal_lowering,5,include,unigram,False,False,305,286,-0.18066666666666667,-55.10333333333333,-0.0015811119719185485,0.008751542279991966,34851,5699,0.023674290072977344
Autism,clinical_only,Clinical,2014-2017,1,2014,2017,arousal_raising,1,disorder,unigram,False,False,2102,1627,0.53,1114.06,0.031966371122779835,0.060313907778829876,34851,5699,0.023674290072977344
Autism,clinical_only,Clinical,2014-2017,1,2014,2017,arousal_raising,2,developmental,unigram,False,False,303,282,0.667,202.101,0.005799001463372644,0.008694155117500215,34851,5699,0.023674290072977344
Autism,clinical_only,Clinical,2014-2017,1,2014,2017,arousal_raising,3,schizophrenia,unigram,False,False,192,161,0.7600000000000001,145.92000000000002,0.004186967375398124,0.005509167599208057,34851,5699,0.023674290072977344
Autism,clinical_only,Clinical,2014-2017,1,2014,2017,arousal_raising,4,risk,unigram,False,False,187,164,0.632,118.184,0.003391122205962526,0.00536569969297868,34851,5699,0.023674290072977344
Autism,clinical_only,Clinical,2014-2017,1,2014,2017,arousal_raising,5,spectrum,unigram,True,False,261,234,0.4,104.4,0.0029956098820693813,0.007489024705173453,34851,5699,0.023674290072977344
